id,mass,GeoLocation
1,21.0,"(50.775, 6.08333)"
2,720.0,"(56.18333, 10.23333)"
6,107000.0,"(54.21667, -113.0)"
10,1914.0,"(16.88333, -99.9)"
370,780.0,"(-33.16667, -64.95)"
379,4239.0,"(32.1, 71.8)"
390,910.0,"(44.83333, 95.16667)"
392,30000.0,"(44.21667, 0.61667)"
398,1620.0,"(-31.6, -65.23333)"
417,1440.0,"(-30.86667, -64.55)"
423,1000.0,"(16.39806, -9.57028)"
424,24000.0,"(19.08333, 8.38333)"
425,,"(50.66667, 2.33333)"
426,779.0,"(29.51667, 35.05)"
427,1800.0,"(29.71667, 77.95)"
432,3000.0,"(8.91667, 8.43333)"
433,50000.0,"(39.91667, 42.81667)"
446,160.0,"(24.41667, 39.51667)"
447,700.0,"(13.66033, 28.96)"
448,6000.0,"(44.11667, 4.08333)"
453,2000.0,"(44.65, 11.01667)"
454,625.0,"(2.0, 22.66667)"
458,252.0,"(45.82133, 6.01533)"
461,700.0,"(51.78333, -1.78333)"
462,3200.0,"(36.23333, 37.13333)"
463,908.0,"(44.88333, 8.75)"
465,9251.0,"(50.95, 31.81667)"
466,228000.0,"(45.26667, 10.15)"
2276,32000.0,"(42.53333, -85.88333)"
2278,2000000.0,"(26.96667, -105.31667)"
48915,3950.0,"(20.74575, 32.41275)"
2284,6000.0,"(35.27333, 44.21556)"
2290,6400.0,"(27.66667, 78.25)"
2294,2700.0,"(26.58333, 85.56667)"
2295,3200.0,"(44.61667, -70.75)"
2296,600.0,"(48.7, 37.5)"
2298,17900.0,"(20.88333, 76.86667)"
50693,256.8,"(0.0, 0.0)"
2301,,"(47.46667, -0.55)"
2302,1500.0,"(-22.96667, -44.31667)"
2304,6500.0,"(9.53333, 39.71667)"
2305,2500.0,"(25.15, 105.18333)"
2313,320.0,"(40.81056, 140.78556)"
2318,15000.0,"(53.58333, -2.71667)"
2320,3200.0,"(43.86667, 5.38333)"
2325,810.0,"(-33.0, -66.0)"
2329,5070.0,"(38.5, -94.3)"
2340,7450.0,"(-31.41667, -60.66667)"
2345,41.0,"(42.45, 9.03333)"
48954,9500.0,"(31.805, -97.01)"
2346,1300.0,"(52.05, 0.3)"
2353,2000.0,"(43.03333, 12.55)"
4883,1280.0,"(25.25417, 80.625)"
4884,94.2,"(20.06667, -103.66667)"
4885,265.0,"(34.75, -87.0)"
4888,1384.2,"(34.31667, -96.15)"
4893,800.0,"(44.38333, 5.16667)"
4899,50000.0,"(36.16667, 3.66667)"
4900,2000.0,"(44.33333, 3.23333)"
4903,50000.0,"(43.08333, 0.58333)"
4905,9330.0,"(-21.46028, -49.95083)"
4906,1230.0,"(46.0, 13.5)"
4907,146.0,"(25.0, -103.5)"
4910,134.0,"(2.71667, 32.83333)"
4913,2830.0,"(36.8, -108.0)"
4917,18000.0,"(48.6, 38.0)"
4922,10322.0,"(28.48333, 78.5)"
4925,3700.0,"(35.96667, -82.48333)"
4926,345.0,"(34.5, -88.66667)"
4928,1000.0,"(5.38333, 16.38333)"
4934,16700.0,"(16.66667, 101.18333)"
4935,11500.0,"(-6.91667, 107.6)"
4936,15000.0,"(27.7, 76.33333)"
4937,14.0,"(30.4, 78.2)"
4938,629.0,"(-6.33333, 106.0)"
4942,6400.0,"(43.95, -0.05)"
4944,,"(41.36667, 2.16667)"
4946,3200.0,"(42.38333, -2.5)"
4947,23.2,"(52.73333, 84.08333)"
4948,17.0,"(52.0, 9.1)"
4949,4500.0,"(31.61667, 76.8)"
4954,44000.0,"(52.56528, -1.33972)"
44876,29560.0,"(15.78333, -5.9)"
4957,15500.0,"(52.03333, 20.93583)"
4974,21000.0,"(45.41667, -98.31667)"
4975,86000.0,"(38.25, -83.75)"
56133,2900.0,"(40.66813, -117.18913)"
4976,1557.0,"(11.08333, -0.18333)"
4977,611.0,"(36.75, -93.5)"
4984,16000.0,"(39.8, -101.2)"
4986,14000.0,"(51.16667, -117.33333)"
4993,794.0,"(53.01667, -4.1)"
5005,375.0,"(33.6, -96.46667)"
5009,,"(-32.33333, -64.86667)"
